NamaPembeli,KelaminInt,Kelamin,MenikahInt,Menikah,TanggunganInt,Tanggungan,PendidikanInt,Pendidikan,PekerjaanInt,Pekerjaan,PendapatanUtamaInt,PendapatanUtama,PemasukanTambahanInt,PemasukanTambahan,JenisPropertiInt,JenisProperti,NUPInt,NUP,BookingFeeInt,BookingFee,BiayaRumahTanah,UangMuka,PeriodeCicilan,RiwayatPinjamanInt,RiwayatPinjaman,PersetujuanPembelianInt,PersetujuanPembelian
Pembeli 001,1,L,0,Tidak,0,0,4,Sarjana,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,1,Rumah,1,Ya,1,Ya,227000000,62000000,18,1,1,1,Ya
Pembeli 002,1,L,1,Ya,4,3+,1,SD,5,Buruh Lepas,1,< 1jt,0,0,2,Tanah,1,Ya,1,Ya,125000000,26000000,18,0,0,1,Ya
Pembeli 003,1,L,1,Ya,2,2,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,1,Rumah,1,Ya,1,Ya,242000000,92000000,18,3,2+,0,Tidak
Pembeli 004,1,L,1,Ya,1,1,4,Sarjana,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,1,Rumah,0,Tidak,1,Ya,192000000,62000000,18,0,0,1,Ya
Pembeli 005,1,L,0,Tidak,0,0,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,1,Rumah,1,Ya,1,Ya,250000000,74000000,18,0,0,1,Ya
Pembeli 006,1,L,1,Ya,2,2,3,SMA,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,1,Rumah,0,Tidak,1,Ya,216000000,70000000,18,1,1,1,Ya
Pembeli 007,1,L,1,Ya,1,1,5,Pasca Sarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,1,Rumah,1,Ya,1,Ya,198000000,61000000,18,3,2+,0,Tidak
Pembeli 008,1,L,1,Ya,4,3+,4,Sarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,2,Tanah,0,Tidak,1,Ya,139000000,36000000,18,2,2,1,Ya
Pembeli 009,1,L,1,Ya,3,3,4,Sarjana,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,1,Rumah,0,Tidak,1,Ya,233000000,85000000,12,0,0,1,Ya
Pembeli 010,1,L,1,Ya,1,1,5,Pasca Sarjana,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,2,Tanah,1,Ya,1,Ya,115000000,30000000,12,2,2,1,Ya
Pembeli 011,1,L,1,Ya,3,3,4,Sarjana,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,1,Rumah,0,Tidak,1,Ya,223000000,79000000,12,0,0,1,Ya
